Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,,,90.1054077148438,,,,,,,,,,,,,,,,,,,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,,,94.2304534912109,,,,,,,,,,,,,,,,,,,
"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,,,,,45.37299,45.37291,44.39897,43.57642,42.51567,41.61074,42.50775,43.14436,44.41989,44.65954,45.12578,,,,,,,
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,,,,16.87404,18.73577,20.02829,20.78171,20.74453,20.52263,22.03863,23.49371,24.59831,27.31908,30.50321,39.43411,42.33761,43.81256,44.71566,45.92842
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,13.94749,16.58445,18.08854,19.62175,20.28364,20.85634,22.87581,24.95607,26.78327,30.26018,34.55895,45.75697,50.17866,52.7417,53.97915,55.88122
"School enrollment, tertiary (% gross)",SE.TER.ENRR,5.35011005401611,5.86393022537231,6.39427995681763,7.59041,9.78911,12.62848,15.45268,17.69126,19087,20.21919,20.52122,20.68412,22.44306,24.19849,25.64785,28.72567,32.43367,42.43073,46.04043,48.01902,49.07326,50.60444
"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,11.4120197296143,11.7645502090454,12.6335897445679,14.07175,15.96658,17.86136,20.45389,22.47211,14.67141,17.53158,17.14973,16.73773,19.61024,19.94105,19.48791,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,,,,,,,,,,,,,,8.81204,,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,,,,,,,,,,,,,,10.00033,,,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,,,,,,,,,,,,,,7.59915,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,,,,,,,,,,,,,,0.37868,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,,,,,,,,,,,,,,0.44401,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,,,,,,,,,,,,,,312,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,,,,,,,,,,,,,,,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,,,,,,,,,,,,,,3.57765,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,,,,,,,,,,,,,,4.1459,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,,,,,,,,,,,,,,2.99765,,,,,,,,
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,,,,,,,,,,,,,,,,,,,,,,
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,36.4538688659668,,,40.7346,42.64305,42.62136,43.3655,,,44.99016,45.08337,,47.43273,48.36898,48.97826,49.61937,50.28462,51.03468,51.9058,52.6629,53.62428,54.71241
"Secondary education, teachers, female",SE.SEC.TCHR.FE,1537605,,,1940197,1949668,2042744,2228135,,,2594248,2804702,,3030146,3103856,3149854,3250337,3132459,3169800,3235872,3275411,3360609,3479543
"Secondary education, teachers",SE.SEC.TCHR,4217947,,,4763020,4572065,4792771,5138036,,,5766256,6221145,6343783,6388302,6417038,6431127,6550540,6229458,6211070,6234124,6219580,6266954,6359696
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,
Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,99.35749,99.21161,99.15332,,97.93265,,,,,,
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,,,,,,,,,,,,98.79232,98.5216,98.41723,,97.15898,,,,,,
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,100,100,100,,98.82757,,,,,,
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,,,,,,,,,,7.48092,8.32112,9.05838,9.59147,9.93984,10.71927,10.98686,9.8304,10.1693,10.6265,11.23508,11.94174,12.82316
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,61.0350608825684,,,,62.04706,,63.90282,,,71.65891,76.80814,81.21425,84.41122,88.31697,,,,,,,,
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,53.6838493347168,,,,57.99494,,60.25623,,,70.96915,76.76522,82.26369,86.60894,88.01268,,,,,,,,
"School enrollment, secondary (% gross)",SE.SEC.ENRR,57.4666213989258,,60.4641799926758,60.2599,60.08422,60.2845,62.14113,,,71.32845,76.78766,81.71284,85.45141,88.1734,,,,,,,,
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,45.6330413818359,,,,,,48.10345,,,51.05769,50.46374,50.16955,50.03688,45.24974,45.12883,45.18861,45.53823,45.37029,45.42252,44.40042,43.74183,42.7632
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,10878677,,12752383,12327079,,,11298031,,,15306302,17228669,18906427,19777488,20400000,20300000,19700000,21100000,19200000,17600000,16600000,16000000,15900000
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,14.521369934082,,,16.06467,19.90202,19.90201,16.67206,,,18.41153,16.3188,16.19805,16.05899,16.19732,16.05266,15.33779,17.50026,16.52553,15.63285,15.08454,14.67719,14.49161
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,16.1868896484375,,,17.10846,18.9229,18.92909,18.61115,,,17.54954,16.36853,15.99176,15.71505,15.46166,15.15325,14.50326,15.14167,14.27963,13.81544,13.49871,13.30917,13.25879
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,17.2176895141602,,17.0874691009521,17.56423,18.57755,18.57755,19.5765,,,17.04956,16.40386,15.83738,15.45224,14.90671,14.47065,13.84711,13.42238,12.61388,12.4553,12.30006,12.26986,12.32505
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,45.2925682067871,,46.0998497009277,,,,46.67663,,,47.06344,47.13169,47.29416,47.46483,47.57551,47.6375,47.70984,47.85841,47.90135,47.8317,47.78119,47.83663,47.92337
"Secondary education, general pupils",SE.SEC.ENRL.GC,57396760,,64683888,69160881,,,84326729,,,85888817,84602299,82541838,80614978,78800000,77200000,75300000,73200000,69500000,68600000,67400000,67400000,68400000
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,45.3468208312988,,,,46.75559,,46.84521,,,47.66759,47.69544,47.83003,47.97153,47.09686,47.11494,47.18714,47.3384,47.35246,47.34064,47.11396,47.05148,46.94867
"Secondary education, pupils",SE.SEC.ENRL,68275440,,77436272,81487960,86516712,90722795,95624760,,,101195119,101830968,101448265,100392466,99200000,97500000,95000000,94300000,88700000,86100000,84000000,83400000,84300000
"Secondary education, duration (years)",SE.SEC.DURS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,22316,,,,,,,,
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,,,,,,,,,,,,,,25.37281,,,,,,,,
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,,,,,,,,,,,,,,19.19593,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,,,,4.26802,,,,,,,,,,,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,,,,5.40475,,,,,,,,,,,,,,,,,,
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,,,,3.08291,,,,,,,,,,,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,,,,52.26036,,,,,,,,,,65.32292,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,,,,60.7806,,,,,,,,,,71.85912,,,,,,,,
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,,,,43.37749,,,,,,,,,,58.65146,,,,,,,,
"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,75.74609375,,,,,,,,,,98.46726,101.71486,101.46995,99.08818,99.51549,,,,,,,
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,79.2257919311523,,,,,,,,,,98.42285,101.1363,100.45864,97.98787,98.6281,,,,,,,
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,72.0587997436523,,,,,,,,,,98.51633,102.36051,102.6045,100.3241,100.5143,,,,,,,
Lower secondary school starting age (years),SE.SEC.AGES,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"Trademark applications, direct nonresident",IP.TMK.NRES,26900,23855,24077,31054,29634,43295,41013,55143,64213,70061,74956,76480,65121,83049,112917,115850,114551,107353,,,,
"Trademark applications, nonresident, by count",IP.TMK.NRCT,,,,,,,,69938,81697,90368,99868,102158,85338,106470,140675,144834,144932,144143,169333,170778,200737,
"Patent applications, residents",IP.PAT.RESD,12672,13751,15626,25346,30038,39806,56769,65786,93485,122318,153060,194579,229096,293066,415829,535313,704936,801135,968252,1204981,1245709,
"Patent applications, nonresidents",IP.PAT.NRES,12102,33645,34418,26560,33412,40426,48548,64598,79842,88183,92101,95259,85508,98111,110583,117464,120200,127042,133612,133522,135885,
Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,86621.4,119754.6,164747.4,189759.8,215700.4,249972.9,290330.2,316915.3,334045,332082.1,362972.9,393962.7,411268.1,426165.3,,
"Industrial design applications, resident, by count",IP.IDS.RSCT,27456,31287,37148,46532,56460,73572,86627,101579,151587,188027,253439,298620,339654,409124,507538,642401,644398,548428,551481,631949,610817,
"Industrial design applications, nonresident, by count",IP.IDS.NRCT,2957,3345,2905,3588,4187,5688,7427,9270,11784,13295,13993,14284,11688,12149,13930,15181,15165,16127,17578,18395,17841,
Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,211400000,272000000,119200000,72400000,242260000,916210000,618720000,603380000,1007319000,604261030,1822808170,683556780,506710000,123700000,368140000,273960000,169340000,308870000,774050000,950170000,1426080000,1617440000
Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,1758040000,1019600000,145400000,331200000,231030000,1689210000,4054650000,782580000,6628900000,3702050000,4494380000,362930000,2512870000,,1095370000,1879400000,4367090000,5009410000,2913740000,3469630000,12587440000,25964800000
Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD,,,,,,,,,,,,,,,,,,,,,,
Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,5080700000,2982800000,3965000000,43300000,508930000,1329770000,2810590000,788690000,1678120000,1197580000,1529040000,678770000,876270000,472970000,2799280000,3255330000,3799140000,1545950000,3092410000,3230081000,3020920000,44900000
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,211400000,272000000,203200000,72400000,242260000,917650000,662200000,603380000,1007319000,604261030,1901875470,973613580,512430000,639700000,591630000,273960000,169340000,352820000,774050000,950170000,1426080000,1617440000
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,3092740000,1670500000,695550000,1558500000,642230000,1787110000,4054650000,782580000,6628900000,8351010000,4494380000,436750000,2512870000,,1095370000,1879400000,4475760000,5009410000,2913740000,3469630000,12587440000,25964800000
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,,,,,,,,,,,,,,,,,,,,,,
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,5946335000,3026000000,4347800000,846800000,997130000,1351330000,4678850000,1390490000,1678120000,1197580000,2214040000,678770000,3146270000,472970000,2799280000,3263250000,3807810000,1545950000,3092410000,3230081000,3020920000,44900000
Procedures to build a warehouse (number),IC.WRH.PROC,,,,,,,,,,,,,,,,,28.6,28.6,28.6,28.6,28,20.4
Time required to build a warehouse (days),IC.WRH.DURS,,,,,,,,,,,,,,,,,265.9,265.9,265.9,265.9,261.8,155.1
Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,68.8,68.6,67.9,68.2,67.3,64.9
Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,,,,,,,,,,,,,,,,,10.6,10.6,10.9,10.8,11,11.5
Tax payments (number),IC.TAX.PAYM,,,,,,,,,,,,,,,,,9,9,9,9,9,7
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,,,,,,,,,,,,,,,,,8.5,8.5,8.5,8.5,8.2,8
Average number of visits or required meetings with tax officials (for affected firms),IC.TAX.METG,,,,,,,,,,,,,,,,2.1,,,,,,
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,,,,,,,,,,,,,,,,,49.8,49.5,48.5,48.9,48.1,45.4
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,,,,,,,,,,,,,,,,10.9,,,,,,
Time to prepare and pay taxes (hours),IC.TAX.DURS,,,,,,,,,,,,,,,,,318,261,261,259,207,142
"Start-up procedures to register a business, male (number)",IC.REG.PROC.MA,,,,,,,,,,,,,,,,,11,9,9,7,7,4
"Start-up procedures to register a business, female (number)",IC.REG.PROC.FE,,,,,,,,,,,,,,,,,11,9,9,7,7,4
Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,11,9,9,7,7,4
"Time required to start a business, male (days)",IC.REG.DURS.MA,,,,,,,,,,,,,,,,,32.4,29.4,29.4,26.9,22.9,8.6
"Time required to start a business, female (days)",IC.REG.DURS.FE,,,,,,,,,,,,,,,,,32.4,29.4,29.4,26.9,22.9,8.6
Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,32.4,29.4,29.4,26.9,22.9,8.6
Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,,,,,,,,,,,,,,,,,1.9,0.9,0.7,0.7,0.6,0.4
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,,,,,,,,,,,,,,,,,1.9,0.9,0.7,0.7,0.6,0.4
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,,,,,,,,,,,,,,,,,1.9,0.9,0.7,0.7,0.6,0.4
Procedures to register property (number),IC.PRP.PROC,,,,,,,,,,,,,,,,,5,5,5,5,5,3.6
Time required to register property (days),IC.PRP.DURS,,,,,,,,,,,,,,,,,23.5,23.5,23.5,23.5,23.5,9
Time required to enforce a contract (days),IC.LGL.DURS,,,,,,,,,,,,,,,,,496.3,496.3,496.3,496.3,496.3,496.3
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Time to resolve insolvency (years),IC.ISV.DURS,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.7,1.7
"Time to import, documentary compliance (hours)",IC.IMP.TMDC,,,,,,,,,,,,,,,,,,65.7,65.7,65.7,65.7,24
"Time to import, border compliance (hours)",IC.IMP.TMBC,,,,,,,,,,,,,,,,,,92.3,92.3,92.3,92.3,48
"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,,,,,,,,,,,,,,,,,,170.9,170.9,170.9,170.9,122.3
"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,,,,,,,,,,,,,,,,,,745,745,745,745,326
Time spent dealing with the requirements of government regulations (% of senior management time),IC.GOV.DURS.ZS,,,,,,,,,,,,,,,,0.9,,,,,,
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,,,,,,,,,,,,,,,,79.2,,,,,,
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,,,,,,,,,,,,,,,,3.9,,,,,,
Firms that spend on R&D (% of firms),IC.FRM.RSDV.ZS,,,,,,,,,,,,,,,,38.7,,,,,,
Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,,,,,,,,,,,,,,,,1.3,,,,,,
Firms visited or required meetings with tax officials (% of firms),IC.FRM.METG.ZS,,,,,,,,,,,,,,,,59.4,,,,,,
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,,,,,,,49.45,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,1268830000,1779800000,1893590000,1298240000,1119580000,1269150000,1211250000,1659590000,1757790000,1218430000,1459670000,1449090000,1231390000,790030000,750900000,277630000,-124460000,-301250000,37980000,-104380000,-359170000,
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,6790000,10250000,3810000,11040000,10080000,6400000,6140000,18240000,10050000,11880000,10570000,14790000,7310000,6940000,9980000,10320000,11140000,3290000,2810000,1810000,2490000,
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,,,,,,,,,,,,440000,70000,30000,10000,20000,10000,10000,10000,,0,
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,,,,,,,,,,,,1440000,90000,,,,100000,140000,80000,90000,90000,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,10000,60000,30000,370000,260000,270000,,300000,270000,130000,150000,790000,490000,120000,5590000,9190000,12630000,9800000,4020000,8840000,310000,
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,,,,,,,,,5340000,510000,67210000,18560000,31160000,45230000,-1130000,45710000,13850000,-13360000,-16740000,-16800000,-16750000,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,1350000,1510000,1490000,1160000,820000,910000,1060000,2310000,1670000,1700000,1410000,1990000,1180000,1500000,1050000,1030000,1160000,850000,620000,540000,560000,
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,15030000,11910000,14070000,9900000,9650000,12190000,11940000,14750000,13810000,14370000,16970000,24520000,21670000,22550000,23490000,24320000,21160000,19920000,11440000,10370000,10080000,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,7740000,13180000,34200000,24900000,26450000,17900000,16760000,25640000,27750000,30510000,24810000,16710000,5280000,3950000,2150000,590000,690000,390000,380000,480000,920000,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,230000,1340000,340000,280000,1510000,540000,450000,980000,880000,860000,1060000,1840000,620000,900000,230000,970000,670000,460000,410000,500000,270000,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,14000000,18020000,23180000,14620000,16180000,26500000,16400000,25250000,19720000,10150000,6310000,15690000,630000,3090000,-1020000,-1610000,-14410000,-6760000,-7350000,-5270000,-7700000,
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,576860000,1158150000,1225970000,769190000,686130000,828710000,759720000,964690000,1064270000,561080000,435660000,278250000,141960000,-192660000,-377610000,-838370000,-792640000,-885670000,-742780000,-949150000,-949040000,
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,-6590000,11200000,-9850000,-21230000,-13680000,-28240000,-19570000,-13740000,-12820000,-23290000,42130000,-16740000,-24330000,-26710000,-33040000,-13090000,-15460000,-14650000,-15870000,-15620000,-13850000,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,370000,530000,600000,400000,390000,560000,280000,510000,700000,790000,520000,1830000,120000,160000,50000,70000,60000,20000,,10000,10000,
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,40000,170000,50000,50000,90000,160000,600000,270000,400000,330000,510000,7720000,790000,580000,520000,450000,40000,90000,40000,0,0,
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,,
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,64.53993008,66.2782206,75.88994435,100,108.3425754,128.2265419,177.1833081,215.6811215,240.6270383,280.1713437,318.6986785,330.8627961,340.5163542,415.3299288,451.759249,467.8969701,510.4326923,525.9374802,515.2490534,534.2749543,581.9333613,619.3765067
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,33.814544855172,31.4806056976612,32.9644333481363,39.1545156801014,38.0508159628703,42.2131851098974,51.2554458985276,59.0460412944293,62.2015404845654,63.9663775202823,61.3059738837427,55.7920940933692,43.2705558397751,48.8569183008415,48.2270382671893,45.3236571423001,43.4568304086999,41.2081044834352,35.8859679670154,33.0900967684006,33.8217226695005,33.9719165834209
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.43618295141696,10.1951254524388,9.74564544669289,8.79156471423692,8.30636939851957,7.97123832687992,4.07553165362389,3.85837919915506,3.35418383309237,3.10700214183035,3.13861739670927,3.15372785302001,4.24458931515679,3.97416129017085,3.97301794076604,5.24776278478983,6.0642901458147,10.1420288041997,12.4773153294966,12.8778644130109,11.650173638335,
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,9220000000,9943000000,11621000000,14169000000,14992000000,16759000000,16716000000,21360000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,101977000000,128576000000,227344000000,249831000000,250112000000,257733000000,
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,8130000000,9205000000,10864000000,13114000000,13909000000,15398000000,15187000000,19149000000,21759000000,24322000000,29786000000,36157000000,43702000000,54880000000,72585000000,101977000000,128576000000,227344000000,249831000000,250112000000,257733000000,
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,12074000000,12602000000,14098000000,16231000000,17792000000,20385000000,17406000000,25739000000,29296000000,33949000000,37233000000,40843000000,39675000000,45814000000,48464000000,50028000000,51664000000,44044000000,44969000000,44432000000,32617000000,
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,1090000000,738000000,757000000,1055000000,1083000000,1361000000,1529000000,2211000000,,,,,,,,,,,,,,
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,552000000,627000000,908000000,1087000000,1214000000,1357000000,1301000000,2016000000,,,,,,,,,,,,,,
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,8.98436666121125,9.35811097592032,10.0117424141336,9.11284789262419,9.11244078783346,8.7801603686921,4.19461839833408,4.58931225127819,3.78824807691696,3.42320515605168,2.96192850217968,2.73139407674972,3.17470216359092,2.85633383104445,2.4125216382363,2.30004062887172,2.19324653646887,1.78829687302574,1.9053430195157,2.02154537405482,1.3426626612512,
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,12626000000,13229000000,15006000000,17318000000,19006000000,21742000000,18707000000,27755000000,29296000000,33949000000,37233000000,40843000000,39675000000,45814000000,48464000000,50028000000,51664000000,44044000000,44969000000,44432000000,32617000000,
"International tourism, number of departures",ST.INT.DPRT,5324000,8426000,9232000,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83182000,98185000,116593000,127860000,135130000,143035000,
"International tourism, number of arrivals",ST.INT.ARVL,23770000,25073000,27047000,31229000,33167000,36803000,32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000,55686000,55622000,56886000,59270000,60740000,
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,2.7,,,,2.3,,,,,,,,,,,,,,,,,
Urban population (% of total population),SP.URB.TOTL.IN.ZS,32883,33867,34865,35877,37093,38425,39776,41144,42522,43868,45199,46539,47.88,49226,50511,51765,53013,54259,55.5,56736,57.96,59152
Urban population,SP.URB.TOTL,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,678933504,699187267,719587859,740239259,761027100,782199374,803554542,823827650
Urban population growth (annual %),SP.URB.GROW,4.00828550795805,3.90807856569896,3.77008872976608,3.64925271115854,4.05956575767596,4.19800114764631,4.07840352649768,3.97537212954358,3.88247297575862,3.67472809325703,3.51125555182775,3.43395768889026,3.33810246782671,3.25536549409244,3.05606997004894,2.93954228534437,2.87600166976336,2.82948268527963,2.76955113521558,2.7440693748531,2.69354013822354,2.49162820140588
Rural population (% of total population),SP.RUR.TOTL.ZS,67117,66133,65135,64123,62907,61575,60224,58856,57478,56132,54801,53461,52.12,50774,49489,48235,46987,45741,44.5,43264,42.04,40848
